             Session           ChannelID           SiteIndex                   X                   Y                   Z        DurationTime        AverageForce      MaxTemperature            MaxPower       BaseImpedance       ImpedanceDrop                 FTI             RFIndex      TagIndexStatus                   
                1400                   0                 141              36.285             -28.858             115.897              19.367               8.434              23.500              36.000             120.608               7.140             163.000             400.933                   1                   
                1400                   0                 142              31.727             -27.679             116.416               7.433              17.513              23.375              35.750             116.318               7.671             130.000             340.680                   1                   
                1400                   0                 143              27.075             -25.824             117.183              29.533              26.084              23.500              36.250             112.492              10.870             770.000             601.378                   1                   
                1400                   0                 144              27.029             -25.500             117.683               5.233              29.750              23.625              36.125          -10000.000          -10000.000             156.000             334.397                   1                   
                1400                   0                 145              33.524             -25.220             118.710               3.150              10.690              23.375              35.750          -10000.000          -10000.000              34.000             219.370                   1                   
                1400                   0                 146              41.828             -28.510             118.663              14.067              11.713              23.375              36.000             126.544               2.699             165.000             383.708                   1                   
                1400                   0                 147              44.683             -30.886             118.935               8.333              13.210              23.250              35.750             128.886               0.443             110.000             327.584                   1                   
                1400                   0                 148              40.927             -19.767             121.224               6.233              17.689              23.375              35.875             141.534              14.140             110.000             316.023                   1                   
                1401                   0                 149              45.691             -35.187             117.257              27.433              12.881              28.125              36.000             135.328               7.385             353.000             494.742                   1                   
                1401                   0                 150              40.049             -33.860             114.066              18.067               9.239              23.000              35.875             128.273               8.551             167.000             392.130                   1                   
                1401                   0                 151              37.015             -32.597             113.800               5.850               9.158              23.000              35.875          -10000.000          -10000.000              54.000             266.415                   1                   
                1401                   0                 152              34.993             -27.245             115.851               9.717              15.101              23.000              36.000             115.443               5.121             147.000             358.034                   1                   
                1401                   0                 153              31.723             -24.613             116.892               5.217              20.113              23.125              35.875          -10000.000          -10000.000             105.000             303.294                   1                   
                1401                   0                 154              36.948             -23.400             117.936               5.083              14.948              23.000              35.750             120.745               5.861              76.000             279.646                   1                   
                1402                   0                 155              44.718             -39.225             114.631              31.617              16.467              27.875              36.250             136.432               8.288             521.000             548.421                   1                   
                1403                   0                 156              38.740             -23.985             114.907               5.467              24.140              30.875              36.000          -10000.000          -10000.000             132.000             321.200                   1                   
                1403                   0                 157              37.437             -20.907             115.912               9.917              27.651              24.750              35.750             121.012              12.031             274.000             416.510                   1                   
                1403                   0                 158              35.102             -26.212             114.085               3.167              21.871              23.750              35.750          -10000.000          -10000.000              69.000             262.925                   1                   
                1403                   0                 159              34.620             -32.154             111.808               9.050              17.006              23.875              36.250             128.633              12.357             154.000             359.202                   1                   
                1403                   0                 160              34.364             -28.403             114.004               6.433              24.202              23.625              36.000             112.241              -2.685             156.000             340.713                   1                   
                1403                   0                 161              29.436             -30.486             113.901               4.633              27.632              23.625              35.875          -10000.000          -10000.000             128.000             319.594                   1                   
                1403                   0                 162              26.126             -27.476             115.512              16.400              33.989              23.625              36.250             111.070               9.802             557.000             521.646                   1                   
